depth_km,Vp_km_s
0.00,3.61
1.00,4.21
2.00,4.85
3.00,5.49
4.00,5.66
5.00,5.82
6.00,5.92
7.00,6.02
8.00,6.03
9.00,6.05
10.00,6.06
11.00,6.07
12.00,6.09
13.00,6.10
14.00,6.11
15.00,6.12
16.00,6.13
17.00,6.14
18.00,6.15
19.00,6.15
20.00,6.16
21.00,6.17
22.00,6.18
23.00,6.19
24.00,6.21
25.00,6.22
26.00,6.23
27.00,6.24
28.00,6.28
29.00,6.32
30.00,6.41
31.00,6.50
32.00,6.54
33.00,6.56
34.00,6.57
35.00,6.59
36.00,6.61
37.00,6.62
38.00,6.64
39.00,6.65
40.00,6.67
41.00,6.69
42.00,6.70
43.00,6.72
44.00,6.73
45.00,6.75
46.00,6.77
47.00,6.78
48.00,6.80
49.00,6.81
50.00,6.83
