event_id,network,station,location,channel,sp_ratio,origin_latitude,origin_longitude,origin_depth_km
nc73515940,CI,MLAC,,HN,0.717825293540955,37.5014,-118.8654,7.735
nc73515940,NC,MCB,,HN,0.770219445228577,37.5014,-118.8654,7.735
nc73515940,NC,MDPB,,HN,0.45828115940094,37.5014,-118.8654,7.735
nc73515940,NC,MEM,,HN,0.489961206912994,37.5014,-118.8654,7.735
nc73515940,NC,MINS,,HN,0.57669872045517,37.5014,-118.8654,7.735
nc73515940,NC,MMLB,,HN,0.844616770744324,37.5014,-118.8654,7.735
nc73515940,NC,MQ1P,,HN,0.678818702697754,37.5014,-118.8654,7.735
nc73515940,NP,1576,10,HN,0.143808349967003,37.5014,-118.8654,7.735
nc73515940,NP,1589,10,HN,0.531226634979248,37.5014,-118.8654,7.735
nc73515940,NP,1679,10,HN,0.169842094182968,37.5014,-118.8654,7.735
nc73515985,CI,MLAC,,HN,0.713060438632965,37.5017,-118.8658,7.804
nc73515985,NC,MCB,,HN,0.792090177536011,37.5017,-118.8658,7.804
nc73515985,NC,MDH,,HN,0.649497509002686,37.5017,-118.8658,7.804
nc73515985,NC,MDPB,,HN,0.505548655986786,37.5017,-118.8658,7.804
nc73515985,NC,MDY,,HN,0.897720992565155,37.5017,-118.8658,7.804
nc73515985,NC,MEM,,HN,0.252154588699341,37.5017,-118.8658,7.804
nc73515985,NC,MINS,,HN,0.534939646720886,37.5017,-118.8658,7.804
nc73515985,NC,MMLB,,HN,0.719688653945923,37.5017,-118.8658,7.804
nc73515985,NC,MQ1P,,HN,0.572769820690155,37.5017,-118.8658,7.804
nc73515985,NP,1576,10,HN,0.0179256703704596,37.5017,-118.8658,7.804
nc73515985,NP,1679,10,HN,0.206163883209229,37.5017,-118.8658,7.804
nc73560520,BK,OVRO,00,HN,0.817081212997437,37.4734,-118.8422,8.534
nc73560520,CI,MLAC,,HN,0.789442360401154,37.4734,-118.8422,8.534
nc73560520,NC,MCB,,HN,0.7712482213974,37.4734,-118.8422,8.534
nc73560520,NC,MCY,,HN,0.799002528190613,37.4734,-118.8422,8.534
nc73560520,NC,MDH,,HN,0.639056503772736,37.4734,-118.8422,8.534
nc73560520,NC,MDPB,,HN,1.19577264785767,37.4734,-118.8422,8.534
nc73560520,NC,MDY,,HN,0.829156219959259,37.4734,-118.8422,8.534
nc73560520,NC,MEM,,HN,0.33678925037384,37.4734,-118.8422,8.534
nc73560520,NC,MINS,,HN,0.698517620563507,37.4734,-118.8422,8.534
nc73560520,NC,MMLB,,HN,0.801468789577484,37.4734,-118.8422,8.534
nc73560520,NC,MQ1P,,HN,0.816820621490479,37.4734,-118.8422,8.534
nc73560520,NP,1576,10,HN,0.072857104241848,37.4734,-118.8422,8.534
nc73605886,CI,MLAC,,HN,0.721423029899597,37.5487,-118.8563,9.343
nc73605886,NC,MCY,,HN,0.504602491855621,37.5487,-118.8563,9.343
nc73605886,NC,MDH,,HN,0.806273281574249,37.5487,-118.8563,9.343
nc73605886,NC,MDPB,,HN,0.401430815458298,37.5487,-118.8563,9.343
nc73605886,NC,MDY,,HN,0.618263900279999,37.5487,-118.8563,9.343
nc73605886,NC,MEM,,HN,0.0297920741140842,37.5487,-118.8563,9.343
nc73605886,NC,MINS,,HN,0.705055058002472,37.5487,-118.8563,9.343
nc73605886,NC,MLI,,HN,0.560394823551178,37.5487,-118.8563,9.343
nc73605886,NC,MMLB,,HN,0.468294650316238,37.5487,-118.8563,9.343
nc73605886,NP,1576,10,HN,0.205592885613441,37.5487,-118.8563,9.343
nc73503625,BK,OVRO,00,HN,1.06039798259735,37.5174,-118.8726,8.001
nc73503625,CI,MLAC,,HN,0.455892205238342,37.5174,-118.8726,8.001
nc73503625,NC,MCB,,HN,0.294526070356369,37.5174,-118.8726,8.001
nc73503625,NC,MCY,,HN,0.228145360946655,37.5174,-118.8726,8.001
nc73503625,NC,MDH,,HN,0.147820040583611,37.5174,-118.8726,8.001
nc73503625,NC,MDPB,,HN,0.0446935705840588,37.5174,-118.8726,8.001
nc73503625,NC,MDY,,HN,0.241757452487946,37.5174,-118.8726,8.001
nc73503625,NC,MEM,,HN,0.00943258870393038,37.5174,-118.8726,8.001
nc73503625,NC,MINS,,HN,0.56702709197998,37.5174,-118.8726,8.001
nc73503625,NC,MLI,,HN,0.347834706306458,37.5174,-118.8726,8.001
nc73503625,NC,MMLB,,HN,0.193262055516243,37.5174,-118.8726,8.001
nc73503625,NC,MQ1P,,HN,0.0960683450102806,37.5174,-118.8726,8.001
nc73503625,NP,1576,10,HN,-0.218413278460503,37.5174,-118.8726,8.001
nc73503625,NP,1587,10,HN,0.563039302825928,37.5174,-118.8726,8.001
nc73503625,NP,1589,10,HN,0.775146007537842,37.5174,-118.8726,8.001
nc73522626,CI,MLAC,,HN,0.993333458900452,37.545,-118.8239,10.219
nc73522626,NC,MCB,,HN,0.0998208373785019,37.545,-118.8239,10.219
nc73522626,NC,MCY,,HN,0.396320223808289,37.545,-118.8239,10.219
nc73522626,NC,MDH,,HN,0.35229229927063,37.545,-118.8239,10.219
nc73522626,NC,MDPB,,HN,-0.134879752993584,37.545,-118.8239,10.219
nc73522626,NC,MDY,,HN,0.355843722820282,37.545,-118.8239,10.219
nc73522626,NC,MEM,,HN,0.0330015309154987,37.545,-118.8239,10.219
nc73522626,NC,MINS,,HN,0.287132382392883,37.545,-118.8239,10.219
nc73522626,NC,MLI,,HN,0.474347531795502,37.545,-118.8239,10.219
nc73522626,NC,MMLB,,HN,0.166586995124817,37.545,-118.8239,10.219
nc73522626,NC,MQ1P,,HN,0.428643882274628,37.545,-118.8239,10.219
nc73522626,NP,1576,10,HN,0.193116828799248,37.545,-118.8239,10.219
nc73501535,BK,OVRO,00,HN,0.771794140338898,37.5102,-118.9414,10.722
nc73501535,CI,MLAC,,HN,0.910649180412292,37.5102,-118.9414,10.722
nc73501535,NC,MCB,,HN,0.195264756679535,37.5102,-118.9414,10.722
nc73501535,NC,MCY,,HN,0.705891251564026,37.5102,-118.9414,10.722
nc73501535,NC,MDH,,HN,0.216728404164314,37.5102,-118.9414,10.722
nc73501535,NC,MDPB,,HN,0.991059005260468,37.5102,-118.9414,10.722
nc73501535,NC,MDY,,HN,0.524434149265289,37.5102,-118.9414,10.722
nc73501535,NC,MEM,,HN,0.00261451816186309,37.5102,-118.9414,10.722
nc73501535,NC,MINS,,HN,0.626497626304626,37.5102,-118.9414,10.722
nc73501535,NC,MLI,,HN,0.556509137153625,37.5102,-118.9414,10.722
nc73501535,NC,MMLB,,HN,0.245461523532867,37.5102,-118.9414,10.722
nc73501535,NC,MQ1P,,HN,0.299247145652771,37.5102,-118.9414,10.722
nc73501535,NP,1576,10,HN,0.199132934212685,37.5102,-118.9414,10.722
nc73501535,NP,1589,10,HN,0.330931633710861,37.5102,-118.9414,10.722
nc73501535,NP,1679,10,HN,0.262655168771744,37.5102,-118.9414,10.722
nc73523661,CI,MLAC,,HN,0.676799833774567,37.5066,-118.8272,7.423
nc73523661,NC,MCB,,HN,0.073606826364994,37.5066,-118.8272,7.423
nc73523661,NC,MCY,,HN,0.372520744800568,37.5066,-118.8272,7.423
nc73523661,NC,MDH,,HN,-0.153815016150475,37.5066,-118.8272,7.423
nc73523661,NC,MDPB,,HN,0.198923081159592,37.5066,-118.8272,7.423
nc73523661,NC,MDY,,HN,0.367562800645828,37.5066,-118.8272,7.423
nc73523661,NC,MEM,,HN,-0.00591171626001596,37.5066,-118.8272,7.423
nc73523661,NC,MINS,,HN,0.551835298538208,37.5066,-118.8272,7.423
nc73523661,NC,MMLB,,HN,0.212643682956696,37.5066,-118.8272,7.423
nc73523661,NC,MQ1P,,HN,0.57427316904068,37.5066,-118.8272,7.423
nc73523661,NP,1576,10,HN,-0.158926084637642,37.5066,-118.8272,7.423
nc73523661,NP,1679,10,HN,0.282405942678452,37.5066,-118.8272,7.423
nc73538550,CI,MLAC,,HN,0.616495788097382,37.5423,-118.8254,7.672
nc73538550,NC,MCB,,HN,0.129001662135124,37.5423,-118.8254,7.672
nc73538550,NC,MDH,,HN,0.356798738241196,37.5423,-118.8254,7.672
nc73538550,NC,MDPB,,HN,0.242958635091782,37.5423,-118.8254,7.672
nc73538550,NC,MDY,,HN,0.663826584815979,37.5423,-118.8254,7.672
nc73538550,NC,MEM,,HN,0.0204998701810837,37.5423,-118.8254,7.672
nc73538550,NC,MINS,,HN,0.597511529922485,37.5423,-118.8254,7.672
nc73538550,NC,MMLB,,HN,0.246172919869423,37.5423,-118.8254,7.672
nc73538550,NC,MQ1P,,HN,0.451721608638763,37.5423,-118.8254,7.672
nc73538550,NP,1576,10,HN,-0.162503033876419,37.5423,-118.8254,7.672
nc73558485,CI,MLAC,,HN,0.430345624685287,37.5454,-118.8237,5.896
