network,station,location,channel,latitude,longitude,elevation
NP,1576,10,HNE,37.56957,-118.75278,2138.0
NP,1576,10,HNN,37.56957,-118.75278,2138.0
NP,1576,10,HNZ,37.56957,-118.75278,2138.0
NP,1587,10,HNE,37.58359,-118.23691,3791.0
NP,1587,10,HNN,37.58359,-118.23691,3791.0
NP,1587,10,HNZ,37.58359,-118.23691,3791.0
NP,1589,10,HNE,37.36061,-118.32858,1236.0
NP,1589,10,HNN,37.36061,-118.32858,1236.0
NP,1589,10,HNZ,37.36061,-118.32858,1236.0
NP,1679,10,HNE,37.52795,-118.36745,1299.0
NP,1679,10,HNN,37.52795,-118.36745,1299.0
NP,1679,10,HNZ,37.52795,-118.36745,1299.0
NP,2021,10,HNE,37.97688,-118.31929,2172.0
NP,2021,,HNE,37.97688,-118.31929,2172.0
NP,2021,10,HNN,37.97688,-118.31929,2172.0
NP,2021,,HNN,37.97688,-118.31929,2172.0
NP,2021,10,HNZ,37.97688,-118.31929,2172.0
NP,2021,,HNZ,37.97688,-118.31929,2172.0
CE,55157,10,HNE,37.8611,-119.1027,2176.0
CE,55157,10,HNN,37.8611,-119.1027,2176.0
CE,55157,10,HNZ,37.8611,-119.1027,2176.0
NC,MBS1,,EP1,37.761024,-118.944542,2025.0
NC,MBS1,,EP2,37.761024,-118.944542,2025.0
NC,MBS1,,EP3,37.761024,-118.944542,2025.0
NC,MCB,,HHE,37.644394,-118.896835,2391.0
NC,MCB,,HHN,37.644394,-118.896835,2391.0
NC,MCB,,HHZ,37.644394,-118.896835,2391.0
NC,MCD,,EHZ,37.54805,-118.443352,1411.0
NC,MCO,,EHZ,37.618992,-118.862953,2186.0
NC,MCS,,EHZ,37.654873,-118.905762,2417.0
NC,MCV,,EHZ,37.590027,-118.829109,2542.0
NC,MCY,,EHE,37.642929,-119.029137,2943.0
NC,MCY,,EHN,37.642929,-119.029137,2943.0
NC,MCY,,EHZ,37.642929,-119.029137,2943.0
NC,MDC,02,EHZ,37.70969,-119.041862,2493.0
NC,MDH,,HNE,37.679752,-118.908821,2349.0
NC,MDH,,HNN,37.679752,-118.908821,2349.0
NC,MDH,,HNZ,37.679752,-118.908821,2349.0
NC,MDH1,,DP1,37.679752,-118.908821,-243.0
NC,MDH1,,DP2,37.679752,-118.908821,-243.0
NC,MDH1,,DP3,37.679752,-118.908821,-243.0
NC,MDPB,,HHE,37.632267,-119.079353,2360.0
NC,MDPB,,HHN,37.632267,-119.079353,2360.0
NC,MDPB,,HHZ,37.632267,-119.079353,2360.0
NC,MDR,,EHE,37.637959,-118.835876,2191.0
NC,MDR,,EHN,37.637959,-118.835876,2191.0
NC,MDR,02,EHZ,37.637959,-118.835876,2191.0
NC,MDY,,HHE,37.658039,-119.012154,2789.0
NC,MDY,,HHN,37.658039,-119.012154,2789.0
NC,MDY,,HHZ,37.658039,-119.012154,2789.0
NC,MEM,,EHE,37.666042,-118.939774,2473.0
NC,MEM,,EHN,37.666042,-118.939774,2473.0
NC,MEM,,EHZ,37.666042,-118.939774,2473.0
NC,MFB,,EHZ,37.429314,-118.428917,1348.0
NC,MGPB,,EHZ,37.62608,-118.902885,2190.0
NC,MINS,,HHE,37.65377,-119.060928,2796.0
NC,MINS,,HHN,37.65377,-119.060928,2796.0
NC,MINS,,HHZ,37.65377,-119.060928,2796.0
CI,MLAC,,HHE,37.63019,-118.83605,2162.0
CI,MLAC,,HHN,37.63019,-118.83605,2162.0
CI,MLAC,,HHZ,37.63019,-118.83605,2162.0
NC,MLC,,EHZ,37.61211,-118.915283,2471.0
NC,MLH,,EHZ,37.678551,-118.814964,2101.0
NC,MLI,,HHE,37.636761,-119.017906,3075.0
NC,MLI,,HHN,37.636761,-119.017906,3075.0
NC,MLI,,HHZ,37.636761,-119.017906,3075.0
NC,MLM,,EHZ,37.728031,-118.94693,2501.0
NC,MMLB,,HHE,37.659092,-118.979065,2656.0
NC,MMLB,,HHN,37.659092,-118.979065,2656.0
NC,MMLB,,HHZ,37.659092,-118.979065,2656.0
NC,MMP,,EHZ,37.609707,-119.028702,2818.0
NC,MMS,,EHZ,37.630375,-119.031746,3324.0
NC,MMT,,EHZ,37.376038,-119.179619,2714.0
NC,MMX1,,EP1,37.617115,-118.959755,2305.0
NC,MMX1,,EP2,37.617115,-118.959755,2305.0
NC,MQ1P,,EHE,37.612782,-119.021309,2740.0
NC,MQ1P,,EHN,37.612782,-119.021309,2740.0
NC,MQ1P,,EHZ,37.612782,-119.021309,2740.0
NC,MRC,,EHZ,37.67374,-118.50708,2023.0
NC,MRD,02,EHZ,37.59779,-119.058701,2657.0
NC,MTU,02,EHZ,37.353161,-118.563263,1792.0
BK,OVRO,00,HHE,37.23066,-118.283,1216.0
BK,OVRO,00,HHN,37.23066,-118.283,1216.0
BK,OVRO,00,HHZ,37.23066,-118.283,1216.0
