event_id,time,latitude,longitude,depth,magnitude,magnitude_type,source
nc73515940,2021-01-24T22:16:07.970000+00:00,37.50138,-118.86541,7.735,2.5,Md,NCDD
nc73515985,2021-01-24T23:27:23.100000+00:00,37.50168,-118.86581,7.804,2.6,Md,NCDD
nc73535821,2021-03-16T11:42:43.070000+00:00,37.47199,-118.84265,8.062,2.6,Md,NCDD
nc73560520,2021-05-10T07:37:30.560000+00:00,37.47336,-118.84216,8.534,2.1,Md,NCDD
nc73605886,2021-08-05T00:27:30.280000+00:00,37.54869,-118.85627,9.343,2.5,Md,NCDD
nc73503625,2020-12-28T02:13:43.990000+00:00,37.51739,-118.8726,8.001,2.6,Md,NCDD
nc73522626,2021-02-13T16:21:08.060000+00:00,37.54495,-118.82386,10.219,2.2,Md,NCDD
nc73501535,2020-12-22T12:26:28.890000+00:00,37.51021,-118.94139,10.722,2.8,Md,NCDD
nc73523661,2021-02-15T20:53:53.880000+00:00,37.50664,-118.82722,7.423,2.5,Md,NCDD
nc73538550,2021-03-17T18:49:49.840000+00:00,37.54226,-118.82544,7.672,2.1,Md,NCDD
nc73558485,2021-05-05T14:28:10.450000+00:00,37.54542,-118.82374,5.896,2.2,Md,NCDD
nc73568736,2021-06-02T03:12:16.640000+00:00,37.52064,-118.82333,7.28,2.3,Md,NCDD
nc73567966,2021-05-31T09:06:14.320000+00:00,37.51933,-118.82361,7.126,3.4,Ml,NCDD
nc73570296,2021-06-05T17:52:32.590000+00:00,37.53814,-118.82835,6.293,2.5,Md,NCDD
nc73497300,2020-12-13T10:37:24.370000+00:00,37.47119,-118.84525,8.635,2.8,Md,NCDD
nc73552920,2021-04-22T07:00:10.310000+00:00,37.5464,-118.77751,10.899,3.0,Ml,NCDD
nc73562810,2021-05-15T07:14:21.110000+00:00,37.54447,-118.77775,10.659,2.5,Md,NCDD
nc73598846,2021-07-24T18:07:42.660000+00:00,37.54476,-118.77839,10.683,2.1,Md,NCDD
nc73551905,2021-04-20T05:07:51.570000+00:00,37.5462,-118.77726,10.629,2.8,Md,NCDD
nc73539650,2021-03-20T17:41:30.690000+00:00,37.45537,-118.8459,13.229,2.1,Md,NCDD
nc73581381,2021-06-30T14:42:17.580000+00:00,37.49025,-118.80753,10.717,2.3,Md,NCDD
nc73539660,2021-03-20T17:55:19.840000+00:00,37.45557,-118.84601,13.201,2.7,Md,NCDD
nc73572586,2021-06-11T01:19:55.290000+00:00,37.50948,-118.85523,12.418,2.3,Md,NCDD
nc73485386,2020-11-21T20:20:14.250000+00:00,37.47811,-118.81414,5.88,2.0,Md,NCDD
nc73619436,2021-09-03T11:16:59.820000+00:00,37.48452,-118.83801,7.301,2.6,Md,NCDD
