event_id,network,station,location,channel,p_polarity,closest_das_ch
nc73501535,NP,1576,10.0,HNZ,1,2309
nc73503625,NP,1576,10.0,HNZ,1,2309
nc73515940,NP,1576,10.0,HNZ,1,2309
nc73515985,NP,1576,10.0,HNZ,1,2309
nc73522626,NP,1576,10.0,HNZ,1,2309
nc73535821,NP,1576,10.0,HNZ,1,2309
nc73539650,NP,1576,10.0,HNZ,-1,2309
nc73539660,NP,1576,10.0,HNZ,1,2309
nc73551905,NP,1576,10.0,HNZ,1,2309
nc73552920,NP,1576,10.0,HNZ,1,2309
nc73558485,NP,1576,10.0,HNZ,1,2309
nc73560520,NP,1576,10.0,HNZ,1,2309
nc73570296,NP,1576,10.0,HNZ,1,2309
nc73572586,NP,1576,10.0,HNZ,-1,2309
nc73581381,NP,1576,10.0,HNZ,-1,2309
nc73598846,NP,1576,10.0,HNZ,1,2309
nc73605886,NP,1576,10.0,HNZ,1,2309
nc73619436,NP,1576,10.0,HNZ,-1,2309
