channel_index,phase_index,phase_time,phase_score,phase_type
0,3179,2021-04-22T07:00:14.065000+00:00,1.0,P
0,3469,2021-04-22T07:00:16.965000+00:00,1.0,S
1,3179,2021-04-22T07:00:14.065000+00:00,1.0,P
1,3469,2021-04-22T07:00:16.965000+00:00,1.0,S
2,3179,2021-04-22T07:00:14.065000+00:00,1.0,P
2,3469,2021-04-22T07:00:16.965000+00:00,1.0,S
3,3179,2021-04-22T07:00:14.065000+00:00,1.0,P
3,3468,2021-04-22T07:00:16.955000+00:00,1.0,S
4,3179,2021-04-22T07:00:14.065000+00:00,1.0,P
4,3468,2021-04-22T07:00:16.955000+00:00,1.0,S
5,3179,2021-04-22T07:00:14.065000+00:00,1.0,P
5,3468,2021-04-22T07:00:16.955000+00:00,1.0,S
6,3179,2021-04-22T07:00:14.065000+00:00,1.0,P
6,3468,2021-04-22T07:00:16.955000+00:00,1.0,S
7,3179,2021-04-22T07:00:14.065000+00:00,1.0,P
7,3468,2021-04-22T07:00:16.955000+00:00,1.0,S
8,3179,2021-04-22T07:00:14.065000+00:00,1.0,P
8,3468,2021-04-22T07:00:16.955000+00:00,1.0,S
9,3178,2021-04-22T07:00:14.055000+00:00,1.0,P
9,3467,2021-04-22T07:00:16.945000+00:00,1.0,S
10,3178,2021-04-22T07:00:14.055000+00:00,1.0,P
10,3467,2021-04-22T07:00:16.945000+00:00,1.0,S
11,3178,2021-04-22T07:00:14.055000+00:00,1.0,P
11,3467,2021-04-22T07:00:16.945000+00:00,1.0,S
12,3178,2021-04-22T07:00:14.055000+00:00,1.0,P
12,3467,2021-04-22T07:00:16.945000+00:00,1.0,S
13,3178,2021-04-22T07:00:14.055000+00:00,1.0,P
13,3467,2021-04-22T07:00:16.945000+00:00,1.0,S
14,3178,2021-04-22T07:00:14.055000+00:00,1.0,P
14,3466,2021-04-22T07:00:16.935000+00:00,1.0,S
15,3178,2021-04-22T07:00:14.055000+00:00,1.0,P
15,3466,2021-04-22T07:00:16.935000+00:00,1.0,S
16,3178,2021-04-22T07:00:14.055000+00:00,1.0,P
16,3466,2021-04-22T07:00:16.935000+00:00,1.0,S
17,3178,2021-04-22T07:00:14.055000+00:00,1.0,P
17,3466,2021-04-22T07:00:16.935000+00:00,1.0,S
18,3178,2021-04-22T07:00:14.055000+00:00,1.0,P
18,3466,2021-04-22T07:00:16.935000+00:00,1.0,S
19,3178,2021-04-22T07:00:14.055000+00:00,1.0,P
19,3466,2021-04-22T07:00:16.935000+00:00,1.0,S
20,3178,2021-04-22T07:00:14.055000+00:00,1.0,P
20,3466,2021-04-22T07:00:16.935000+00:00,1.0,S
21,3178,2021-04-22T07:00:14.055000+00:00,1.0,P
21,3465,2021-04-22T07:00:16.925000+00:00,1.0,S
22,3177,2021-04-22T07:00:14.045000+00:00,1.0,P
22,3465,2021-04-22T07:00:16.925000+00:00,1.0,S
23,3177,2021-04-22T07:00:14.045000+00:00,1.0,P
23,3465,2021-04-22T07:00:16.925000+00:00,1.0,S
24,3177,2021-04-22T07:00:14.045000+00:00,1.0,P
24,3465,2021-04-22T07:00:16.925000+00:00,1.0,S
25,3177,2021-04-22T07:00:14.045000+00:00,1.0,P
25,3465,2021-04-22T07:00:16.925000+00:00,1.0,S
26,3177,2021-04-22T07:00:14.045000+00:00,1.0,P
26,3465,2021-04-22T07:00:16.925000+00:00,1.0,S
27,3177,2021-04-22T07:00:14.045000+00:00,1.0,P
27,3464,2021-04-22T07:00:16.915000+00:00,1.0,S
28,3177,2021-04-22T07:00:14.045000+00:00,1.0,P
28,3464,2021-04-22T07:00:16.915000+00:00,1.0,S
29,3177,2021-04-22T07:00:14.045000+00:00,1.0,P
29,3464,2021-04-22T07:00:16.915000+00:00,1.0,S
30,3177,2021-04-22T07:00:14.045000+00:00,1.0,P
30,3464,2021-04-22T07:00:16.915000+00:00,1.0,S
31,3177,2021-04-22T07:00:14.045000+00:00,1.0,P
31,3464,2021-04-22T07:00:16.915000+00:00,1.0,S
32,3177,2021-04-22T07:00:14.045000+00:00,1.0,P
32,3463,2021-04-22T07:00:16.905000+00:00,1.0,S
33,3177,2021-04-22T07:00:14.045000+00:00,1.0,P
33,3463,2021-04-22T07:00:16.905000+00:00,1.0,S
34,3177,2021-04-22T07:00:14.045000+00:00,1.0,P
34,3463,2021-04-22T07:00:16.905000+00:00,1.0,S
35,3176,2021-04-22T07:00:14.035000+00:00,1.0,P
35,3463,2021-04-22T07:00:16.905000+00:00,1.0,S
36,3176,2021-04-22T07:00:14.035000+00:00,1.0,P
36,3463,2021-04-22T07:00:16.905000+00:00,1.0,S
37,3176,2021-04-22T07:00:14.035000+00:00,1.0,P
37,3463,2021-04-22T07:00:16.905000+00:00,1.0,S
38,3176,2021-04-22T07:00:14.035000+00:00,1.0,P
38,3462,2021-04-22T07:00:16.895000+00:00,1.0,S
39,3176,2021-04-22T07:00:14.035000+00:00,1.0,P
39,3462,2021-04-22T07:00:16.895000+00:00,1.0,S
40,3176,2021-04-22T07:00:14.035000+00:00,1.0,P
40,3462,2021-04-22T07:00:16.895000+00:00,1.0,S
41,3176,2021-04-22T07:00:14.035000+00:00,1.0,P
41,3462,2021-04-22T07:00:16.895000+00:00,1.0,S
42,3176,2021-04-22T07:00:14.035000+00:00,1.0,P
42,3462,2021-04-22T07:00:16.895000+00:00,1.0,S
43,3176,2021-04-22T07:00:14.035000+00:00,1.0,P
43,3461,2021-04-22T07:00:16.885000+00:00,1.0,S
44,3176,2021-04-22T07:00:14.035000+00:00,1.0,P
44,3461,2021-04-22T07:00:16.885000+00:00,1.0,S
45,3176,2021-04-22T07:00:14.035000+00:00,1.0,P
45,3461,2021-04-22T07:00:16.885000+00:00,1.0,S
46,3176,2021-04-22T07:00:14.035000+00:00,1.0,P
46,3460,2021-04-22T07:00:16.875000+00:00,1.0,S
47,3176,2021-04-22T07:00:14.035000+00:00,1.0,P
47,3460,2021-04-22T07:00:16.875000+00:00,1.0,S
48,3175,2021-04-22T07:00:14.025000+00:00,1.0,P
48,3460,2021-04-22T07:00:16.875000+00:00,1.0,S
49,3175,2021-04-22T07:00:14.025000+00:00,1.0,P
49,3460,2021-04-22T07:00:16.875000+00:00,1.0,S
50,3175,2021-04-22T07:00:14.025000+00:00,1.0,P
50,3459,2021-04-22T07:00:16.865000+00:00,1.0,S
51,3175,2021-04-22T07:00:14.025000+00:00,1.0,P
51,3459,2021-04-22T07:00:16.865000+00:00,1.0,S
52,3175,2021-04-22T07:00:14.025000+00:00,1.0,P
52,3459,2021-04-22T07:00:16.865000+00:00,1.0,S
53,3175,2021-04-22T07:00:14.025000+00:00,1.0,P
53,3459,2021-04-22T07:00:16.865000+00:00,1.0,S
54,3175,2021-04-22T07:00:14.025000+00:00,1.0,P
54,3458,2021-04-22T07:00:16.855000+00:00,1.0,S
55,3175,2021-04-22T07:00:14.025000+00:00,1.0,P
55,3458,2021-04-22T07:00:16.855000+00:00,1.0,S
56,3175,2021-04-22T07:00:14.025000+00:00,1.0,P
56,3458,2021-04-22T07:00:16.855000+00:00,1.0,S
57,3175,2021-04-22T07:00:14.025000+00:00,1.0,P
57,3458,2021-04-22T07:00:16.855000+00:00,1.0,S
58,3175,2021-04-22T07:00:14.025000+00:00,1.0,P
58,3457,2021-04-22T07:00:16.845000+00:00,1.0,S
59,3175,2021-04-22T07:00:14.025000+00:00,1.0,P
59,3457,2021-04-22T07:00:16.845000+00:00,1.0,S
60,3175,2021-04-22T07:00:14.025000+00:00,1.0,P
60,3457,2021-04-22T07:00:16.845000+00:00,1.0,S
61,3175,2021-04-22T07:00:14.025000+00:00,1.0,P
61,3457,2021-04-22T07:00:16.845000+00:00,1.0,S
62,3174,2021-04-22T07:00:14.015000+00:00,1.0,P
62,3457,2021-04-22T07:00:16.845000+00:00,1.0,S
63,3174,2021-04-22T07:00:14.015000+00:00,1.0,P
63,3456,2021-04-22T07:00:16.835000+00:00,1.0,S
