event_id,network,station,location,channel,p_polarity,takeoff,takeoff_uncertainty,azimuth,azimuth_uncertainty,sr_dist_km
nc71113514,NC,MDH1,1.0,DP1,1,124.0,,262.7,,4.756918959948
nc71113514,NC,MDR,2.0,EHZ,-1,118.0,,161.9,,5.514156410094
nc71113514,NC,MCB,,HHZ,1,117.0,,218.9,,5.822166356776
nc71113514,CI,MLAC,,HHZ,1,114.0,,164.5,,6.335886917668001
nc71113514,NC,MGPB,,EHZ,1,107.0,,212.5,,7.786980709798
nc71113514,NC,MLC,,EHZ,1,101.0,,213.0,,9.682854208328
nc71113514,NC,MCO,,EHZ,1,109.0,,185.2,,7.376671430643999
nc71113514,NC,MCV,,EHZ,1,98.0,,167.7,,10.811482713318
nc71113514,NC,MMX1,,HN3,1,95.0,,230.6,,11.92009613152
nc71116674,NC,MGPB,,EHZ,-1,164.0,,254.6,,1.713513818906
nc71116674,NC,MCB,,HHZ,-1,162.0,,324.8,,1.93479172284
nc71116674,NC,MCO,,EHZ,-1,160.0,,123.6,,2.24613751732
nc71116674,NC,MLC,,EHZ,-1,151.0,,233.8,,3.400340855428
nc71116674,NC,MDR,2.0,EHZ,1,144.0,,78.5,,4.349945528592
nc71116674,NC,MCV,,EHZ,-1,130.0,,132.6,,6.594971096646001
nc71116674,NC,MMP,,EHZ,1,106.0,,259.9,,12.96532844156
nc71116674,NC,MINS,,HHZ,1,103.0,,279.6,,15.82303805518
nc71116774,NC,MCO,,EHZ,-1,149.0,,134.3,,3.02450200352
nc71116774,NC,MLC,,EHZ,-1,142.0,,220.4,,3.7784036058680006
nc71116774,NC,MDR,2.0,EHZ,1,136.0,,90.0,,4.556768092068
nc71116774,NC,MLH,,EHZ,1,118.0,,54.7,,7.825898934108
nc71116774,NC,MMP,,EHZ,1,99.0,,255.8,,12.85413351496
nc71116774,NC,MINS,,HHZ,1,98.0,,276.6,,15.41161682676
nc71116774,NC,MDC,2.0,EHZ,1,98.0,,300.5,,15.77856008454
nc71116774,NC,MMT,,EHZ,1,79.0,,221.6,,38.89598532468
nc71116974,NC,MCO,,EHZ,-1,159.0,,158.8,,2.442952537402
nc71116974,NC,MGPB,,EHZ,-1,155.0,,240.5,,3.03006174985
nc71116974,NC,MDR,2.0,EHZ,-1,153.0,,93.0,,3.281362283966
nc71116974,CI,MLAC,,HHZ,-1,152.0,,107.6,,3.421467891482
nc71116974,NC,MLC,,EHZ,-1,142.0,,230.7,,4.81474032178
nc71116974,NC,MCV,,EHZ,-1,131.0,,144.9,,6.72173331297
nc71118679,NC,MCO,,EHZ,-1,160.0,,120.3,,2.54080407281
nc71118679,NC,MCS,,EHZ,-1,155.0,,329.8,,3.134584980854
nc71118679,NC,MLC,,EHZ,-1,155.0,,229.8,,3.1690554081
nc71118679,CI,MLAC,,HHZ,-1,146.0,,90.4,,4.571223432526001
nc71118679,NC,MMX1,,HN3,1,135.0,,256.8,,6.52158244509
nc71118679,NC,MCV,,EHZ,-1,133.0,,131.0,,6.86072697122
nc71118679,NC,MLH,,EHZ,1,126.0,,50.2,,8.355186784724
nc71118679,NC,MINS,,HHZ,1,108.0,,279.7,,15.50057276804
nc71118679,NC,MDC,2.0,EHZ,1,107.0,,303.1,,16.18998131296
nc71119289,NC,MCB,,HHZ,1,166.0,,288.8,,0.8855563954424001
nc71119289,NC,MLC,,EHZ,-1,128.0,,216.7,,4.11977203053
nc71119289,NC,MLH,,EHZ,1,107.0,,57.3,,7.575710349257999
nc71120694,NC,MLC,,EHZ,1,149.0,,258.8,,2.230570227596
nc71120694,NC,MCO,,EHZ,1,147.0,,82.2,,2.455183979328
nc71120694,NC,MCB,,HHZ,1,140.0,,350.0,,3.201301936814
nc71122324,NC,MMP,,EHZ,1,147.0,,161.5,,2.298399132822
nc71122324,NC,MQ1P,,EHZ,1,147.0,,143.1,,2.300623031354
nc71122324,NC,MINS,,HHZ,-1,135.0,,322.2,,3.438147130472
nc71122324,NC,MDPB,,HHZ,1,131.0,,275.0,,3.752828772750001
nc71122324,NC,MDC,2.0,EHZ,1,103.0,,357.3,,8.930064555246
nc71122324,NC,MMT,,EHZ,-1,77.0,,204.1,,30.81211416086
nc71122559,NC,MMP,,EHZ,-1,136.0,,151.1,,2.300623031354
nc71122559,NC,MQ1P,,EHZ,1,135.0,,133.5,,2.432944994008
nc71122559,NC,MINS,,HHZ,1,123.0,,329.1,,3.359198732586
nc71122559,NC,MDPB,,HHZ,-1,123.0,,278.4,,3.392557210566
nc71122559,NC,MDC,2.0,EHZ,1,94.0,,359.7,,9.086849401752
nc71122564,NC,MMP,,EHZ,-1,115.0,,147.9,,2.61864052143
nc71122564,NC,MQ1P,,EHZ,-1,113.0,,132.6,,2.775425367936
nc71122564,NC,MINS,,HHZ,1,111.0,,331.6,,3.043405141042
nc71122564,NC,MDPB,,HHZ,1,110.0,,275.4,,3.090107010214
nc71123009,NC,MCV,,EHZ,1,150.0,,203.3,,2.91886682325
nc71123009,NC,MDR,2.0,EHZ,-1,147.0,,326.5,,3.171279306632
nc71123009,NC,MCO,,EHZ,-1,139.0,,277.4,,4.179817290894
nc71123009,NC,MLC,,EHZ,1,114.0,,268.5,,8.769943860942
nc71123139,NC,MCV,,EHZ,-1,136.0,,359.0,,4.59235046858
nc71123139,NC,MCO,,EHZ,-1,115.0,,338.6,,8.38965721197
nc71123139,CI,MLAC,,HHZ,-1,113.0,,355.6,,9.075729909092
nc71123139,NC,MDR,2.0,EHZ,-1,110.0,,356.1,,9.93526669171
nc71123139,NC,MLC,,EHZ,-1,109.0,,312.6,,10.432308013612
nc71123139,NC,MGPB,,EHZ,1,107.0,,322.6,,10.834833647904
nc71123139,NC,MCB,,HHZ,1,100.0,,330.4,,12.231441926
nc71123139,NC,MCS,,EHZ,1,99.0,,330.0,,13.63249800116
nc71123139,NC,MMX1,,HN3,-1,99.0,,303.3,,13.88824633234
nc71123139,NC,MLH,,EHZ,1,99.0,,4.6,,14.46645995066
nc71123139,NC,MEM,,EHZ,-1,98.0,,323.0,,16.334534717540002
nc71123139,NC,MMP,,EHZ,1,96.0,,291.1,,18.96985447796
nc71123139,NC,MDY,,HHZ,1,95.0,,306.9,,20.28195461184
nc71123139,NC,MINS,,HHZ,-1,86.0,,299.8,,23.64004139516
nc71123139,NC,MDPB,,HHZ,-1,85.0,,292.9,,24.05146262358
nc71123139,NC,MDC,2.0,EHZ,-1,84.0,,313.6,,25.98625434642
nc71123139,NC,MMT,,EHZ,1,79.0,,238.4,,36.5275333881
nc71123184,NC,MCO,,EHZ,-1,112.0,,341.5,,16.979465291820002
nc71123184,NC,MLC,,EHZ,1,111.0,,327.0,,18.31380441102
nc71123184,NC,MDR,2.0,EHZ,-1,110.0,,350.7,,18.44723832294
nc71123184,NC,MCB,,HHZ,1,107.0,,336.2,,20.69337584026
nc71123184,NC,MMX1,,HN3,-1,106.0,,318.9,,21.149275039320003
nc71123184,NC,MCS,,EHZ,1,105.0,,335.5,,22.0721929301
nc71123184,NC,MLH,,EHZ,-1,104.0,,357.1,,22.7393624897
nc71123184,NC,MQ1P,,EHZ,1,103.0,,308.6,,24.77422964648
nc71123184,NC,MDPB,,HHZ,1,99.0,,305.8,,30.16718358658
nc71123184,NC,MDC,2.0,EHZ,1,97.0,,321.2,,33.66982377448
nc71123184,NC,MMT,,EHZ,1,96.0,,252.0,,35.17095528358001
nc71123319,NP,1576,10.0,HNZ,1,129.0,,7.7,,7.905959281259999
